epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3669,1.47294,4.03268,1.93084,0.00794,0.92955,0.28166,0.13642,1.13994,3.5837,1.61524,0.000468394,0.000468394,0.000468394
2,130.636,1.41125,3.45704,1.96297,0.73408,0.275,0.23245,0.10784,1.33433,3.21066,1.9593,0.0008512,0.0008512,0.0008512
3,195.442,1.31631,3.13892,1.91257,0.63632,0.34167,0.2553,0.14038,1.32738,11.6038,1.85815,0.00113969,0.00113969,0.00113969
4,238.808,1.45824,3.22974,1.9646,0.23734,0.24098,0.25728,0.14839,1.37318,4.15906,1.77728,0.00100459,0.00100459,0.00100459
5,274.187,1.47808,3.20412,2.02295,0.16956,0.40379,0.17192,0.09642,1.42173,3.718,1.82322,0.000863116,0.000863116,0.000863116
6,308.959,1.43193,3.11065,1.94688,0.34944,0.33646,0.21621,0.11153,1.37321,3.61706,1.83486,0.000721645,0.000721645,0.000721645
7,344.727,1.2588,2.98303,1.73805,0.7163,0.26051,0.25857,0.14312,1.44313,3.15717,1.85936,0.000580174,0.000580174,0.000580174
8,381.071,1.25182,2.81007,1.70901,0.7163,0.26051,0.25857,0.14312,1.44313,3.15717,1.85936,0.000438703,0.000438703,0.000438703
9,415.796,1.20424,2.81213,1.67522,0.70767,0.3,0.25109,0.1529,1.26277,2.96843,1.6879,0.000297232,0.000297232,0.000297232
10,451.929,1.232,2.66648,1.74521,0.71526,0.31667,0.24648,0.15167,1.21804,2.87649,1.61538,0.000155761,0.000155761,0.000155761
